"ENTREPRISES";"PROJETS";"THEMATIQUE";"PAGE";"VAGUE";"URL_FICH_ORIGINE";"REALISATION_DEBUT";"REALISATION_FIN";"MONTANT";"AIDE";"DEPT"
"AB Tasty";"Personnalisation";"NUMÉRIQUE";57;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";3590054;NA;"75"
"AB7 Industries";"Terrabios";"AGRICULTURE INNOVANTE";38;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";626806;197565;"31"
"ACCENTA";"ACCENTA.AI";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";7;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";790331;355649;"91"
"Aenitis Technologies";"ALI-S";"SANTÉ";80;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";2451391;NA;"75 77 49 39 59"
"AIRWEB";"TICKET_UNIVERSEL";"TRANSPORT ET MOBILITÉ DURABLE";24;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";671932;302369;"92"
"ALPHEE Developpement";"SMART20";"TRANSPORT ET MOBILITÉ DURABLE";25;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";750624;300348;"69"
"ALSID";"NGCySS";"SÉCURITÉ ET CYBERSÉCURITÉ";88;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1049693;NA;"75"
"ALYCE";"Observer";"TRANSPORT ET MOBILITÉ DURABLE";26;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";798360;336852;"69 92"
"AP&BS";"SYMPHONIA";"NUMÉRIQUE";58;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";670800;NA;"75"
"APIX Analytics";"MILAN";"FRENCH FAB";94;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";2583401;NA;"38"
"ARYBALLE Technologies";"NeOse F3";"ALIMENTATION INTELLIGENTE";101;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";678000;745000;NA
"ATAWEY";"FRHYSE";"TRANSPORT ET MOBILITÉ DURABLE";27;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";694893;311802;"73"
"BIODEVAS Laboratoires";"BIOBACT";"AGRICULTURE INNOVANTE";39;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";758885;246869;"72"
"BIOMEDE";"SEEDEXTRA";"AGRICULTURE INNOVANTE";40;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";792320;356544;"69"
"Botify";"Botify AI";"NUMÉRIQUE";59;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";3286275;NA;"75"
"C4Hydro";"LEGIO EZ-AUTO";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";49;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";631400;273239;"13"
"Carbon Bee AgTech";"ILS";"AGRICULTURE INNOVANTE";41;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";789700;287955;"26"
"Cycle Farms";"CYCLE SEED";"AGRICULTURE INNOVANTE";42;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";784719;351421;"49"
"Cythelia Energy";"ASUITE-PV-BIM";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";8;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";761862;262907;"73"
"DEEPKI";"STASE2";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";9;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1750000;648138;"75"
"DIBOTICS";"Beyond-LiDAR";"TRANSPORT ET MOBILITÉ DURABLE";28;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";798768;359446;"75"
"Diimotion";"DODI";"AGRICULTURE INNOVANTE";43;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";637800;262080;"64"
"DNA Script";"SynVec";"SANTÉ";81;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";5e+06;NA;"75"
"DualSun";"DualFab";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";10;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";792685;333758;"13"
"eBike Labs";"eBike Brain";"TRANSPORT ET MOBILITÉ DURABLE";29;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1746016;764748;"38"
"EnerBee";"Little Bee";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";11;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";2184197;795744;"38"
"Energies Demain";"AtAC";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";12;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";790760;357192;"75"
"ENTECH-SE";"CSV";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";13;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";788180;343341;"29"
"ETS DUBRULLE";"2018CROPV";"AGRICULTURE INNOVANTE";44;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1361121;417404;"59"
"EUVEKA";"BEM";"NUMÉRIQUE";60;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2011";"2018";NA;NA;"26"
"Everysens";"OMNITRACK";"TRANSPORT ET MOBILITÉ DURABLE";30;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";779100;350595;"59"
"Expliseat";"AERORAIL";"TRANSPORT ET MOBILITÉ DURABLE";31;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";4231163;1772226;"75"
"FLUDIA";"FUSINI";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";14;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";774000;348300;"92"
"FORSETI SAS";"Doctrine.eu";"NUMÉRIQUE";61;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";4999944;NA;"75"
"Georges.tech SAS";"GEORGES";"NUMÉRIQUE";62;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1766281;NA;"69"
"GO TOUCH VR";"GO TOUCH VR 5G";"NUMÉRIQUE";63;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";1903000;NA;"59"
"GULPLUG";"SELFPLUG";"TRANSPORT ET MOBILITÉ DURABLE";32;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";752960;338832;"38"
"H-PreC SAS";"BloK";"FRENCH FAB";95;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";610038;NA;"06"
"HAWK";"SOLARWATCH";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";15;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";670862;295494;"33"
"Infolegale";"COMPLIFY";"NUMÉRIQUE";64;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";2864304;NA;"69"
"IoT.bzh";"SILEX";"NUMÉRIQUE";65;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";779000;NA;"56"
"IXSANE";"EMILIE";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";50;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";786300;353835;"59"
"KITEWINDER";"STRATO-WIND";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";16;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";780000;318838;"33"
"KLEARIA";"MICROPOLTRACK";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";51;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";796001;344967;"06"
"LIBRICIEL SCOP SA";"IPNG";"NUMÉRIQUE";66;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";674000;NA;"34"
"LyophiTech";"LYOAC";"ALIMENTATION INTELLIGENTE";102;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2019";"2021";749000;335000;NA
"MagIA Diagnostics SAS";"MagIABioprod";"SANTÉ";82;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";789087;NA;"38"
"Mascara Nouvelles Technologies";"ECO DESSALEMENT SOLAIRE";"ÉCOSYSTÈMES TERRESTRES, AQUATIQUES ET MARINS";52;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1821883;771155;"28"
"MC2 Technologies";"SACOP";"SÉCURITÉ ET CYBERSÉCURITÉ";89;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1738203;NA;"59"
"Metagritech";"Hydroferti";"AGRICULTURE INNOVANTE";45;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";791293;328858;"75"
"MilliDrop Instrument SAS";"DIHAG";"SANTÉ";83;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2019";"2021";4400000;NA;"75"
"MJVA-Creaminal";"bridg.audio";"NUMÉRIQUE";67;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";715790;NA;"75"
"MultiX S.A.";"AUTOSOFT";"SÉCURITÉ ET CYBERSÉCURITÉ";90;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";705000;NA;"38"
"MYRIADE";"COLE";"SANTÉ";84;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";790085;NA;"75"
"NETATMO";"NHA";"NUMÉRIQUE";68;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";4600000;NA;"92 69"
"NEWHEAT";"SCALE&MIX";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";17;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";799320;279558;"33 24"
"Nextmind";"NeurAction";"NUMÉRIQUE";69;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";2273427;NA;"75"
"Odit-e";"UTILIT-e";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";18;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";649460;292257;"38"
"OWNEST SAS";"OWNEST";"NUMÉRIQUE";70;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2019";777600;NA;"75"
"PERARD";"Silo-eXpress";"AGRICULTURE INNOVANTE";46;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2020";1209550;522715;"55"
"PERCIPIO ROBOTICS";"FRENCH PRECISION";"FRENCH FAB";96;1;"../Data/vague_1_6/i-nov-palmar-s-vague-1-19087.pdf";"2018";"2021";1423441;NA;"25"
